Date,Clicks,Impressions,CTR,Position
2026-05-25,84,8142,1.03%,8.2
2026-05-26,78,8524,0.92%,8.3
2026-05-27,26,8282,0.31%,9.9
2026-05-28,47,8143,0.58%,8.4
2026-05-29,36,5636,0.64%,9.1
2026-05-30,26,4442,0.59%,9.7
2026-05-31,21,5545,0.38%,8.9
2026-06-01,46,7216,0.64%,8.7
2026-06-02,38,6705,0.57%,8.6
2026-06-03,41,6152,0.67%,9.2
2026-06-04,35,5612,0.62%,8.8
2026-06-05,27,4987,0.54%,9
2026-06-06,16,4539,0.35%,9.5
2026-06-07,25,5624,0.44%,8.5
2026-06-08,37,5321,0.7%,8.8
2026-06-09,26,5114,0.51%,8.9
2026-06-10,25,4432,0.56%,9.9
2026-06-11,28,4368,0.64%,9.4
2026-06-12,23,3739,0.62%,9.3
2026-06-13,17,4250,0.4%,10
2026-06-14,19,4645,0.41%,8.8
2026-06-15,29,4397,0.66%,10.8
2026-06-16,27,4551,0.59%,11
2026-06-17,25,4713,0.53%,10.3
2026-06-18,38,4741,0.8%,10.3
2026-06-19,15,4142,0.36%,10.3
2026-06-20,17,3852,0.44%,10.9
2026-06-21,19,4526,0.42%,10
2026-06-22,16,4136,0.39%,10.5
2026-06-23,23,4714,0.49%,11.8
2026-06-24,30,3865,0.78%,12.9
2026-06-25,22,3248,0.68%,9.8
2026-06-26,13,3146,0.41%,9.8
2026-06-27,12,3295,0.36%,12
2026-06-28,16,3990,0.4%,9.8
2026-06-29,22,3683,0.6%,10.8
2026-06-30,27,3672,0.74%,11.2
2026-07-01,21,3250,0.65%,10.6
2026-07-02,19,2689,0.71%,11.4
2026-07-03,20,2769,0.72%,10.2
2026-07-04,12,2510,0.48%,10.7
2026-07-05,13,3597,0.36%,9.8
2026-07-06,16,3529,0.45%,9.9
2026-07-07,22,3549,0.62%,10.8
2026-07-08,21,3709,0.57%,12.7
2026-07-09,21,3215,0.65%,10.7
2026-07-10,25,3168,0.79%,11.1
2026-07-11,11,3036,0.36%,11.6
2026-07-12,21,3793,0.55%,11
2026-07-13,20,3213,0.62%,11.5
2026-07-14,26,2745,0.95%,12
2026-07-15,10,642,1.56%,8.4
2026-07-16,12,558,2.15%,8
2026-07-17,10,845,1.18%,11
2026-07-18,9,2330,0.39%,10.8
2026-07-19,18,3040,0.59%,9.2
2026-07-20,28,3242,0.86%,9.6
2026-07-21,28,2966,0.94%,11.2
2026-07-22,34,2956,1.15%,11.2
2026-07-23,28,3408,0.82%,10
2026-07-24,22,2834,0.78%,10.1
2026-07-25,7,2293,0.31%,10.8
2026-07-26,14,3012,0.46%,10.2
2026-07-27,36,5064,0.71%,7.8
2026-07-28,23,4057,0.57%,10.3
2026-07-29,23,4021,0.57%,8.9
2026-07-30,21,3157,0.67%,11.6
2026-07-31,25,3105,0.81%,12.1
2026-08-01,15,2810,0.53%,13.4
2026-08-02,14,3074,0.46%,11.5
2026-08-03,18,2885,0.62%,12.1
2026-08-04,20,2876,0.7%,12.3
2026-08-05,22,3278,0.67%,13.1
2026-08-06,19,2615,0.73%,11.9
2026-08-07,12,2258,0.53%,11.2
2026-08-08,15,2329,0.64%,11.7
2026-08-09,10,2782,0.36%,12.8
2026-08-10,8,2948,0.27%,12.1
2026-08-11,20,2738,0.73%,11.6
2026-08-12,25,3573,0.7%,10.5
2026-08-13,10,1374,0.73%,19.2
2026-08-14,7,751,0.93%,19.3
2026-08-15,4,635,0.63%,27.9
2026-08-16,7,695,1.01%,26
2026-08-17,8,590,1.36%,23.9
2026-08-18,8,437,1.83%,22.8
2026-08-19,7,1103,0.63%,7.4
2026-08-20,11,304,3.62%,24.9
2026-08-21,10,821,1.22%,9.4
2026-08-22,3,220,1.36%,27.6
2026-08-23,8,812,0.99%,10.5
2026-08-24,16,464,3.45%,15.5
