Country,Clicks,Impressions,CTR,Position
United States,1618,248697,0.65%,10.41
India,98,12595,0.78%,8.33
United Kingdom,42,8375,0.5%,11.73
Australia,30,6037,0.5%,8.93
Canada,28,7916,0.35%,9.86
Japan,17,2199,0.77%,11.8
France,17,1494,1.14%,8.86
Germany,13,1541,0.84%,9.14
Spain,11,1113,0.99%,8.55
Philippines,10,1467,0.68%,13.28
Netherlands,9,1004,0.9%,10.29
New Zealand,9,719,1.25%,6.84
South Africa,7,1015,0.69%,8.21
Poland,7,546,1.28%,8.24
Indonesia,6,1159,0.52%,13.17
Sweden,5,435,1.15%,7.05
Hong Kong,4,395,1.01%,10.05
Belgium,4,366,1.09%,7.87
Pakistan,4,338,1.18%,11.2
China,3,1178,0.25%,7.92
Thailand,3,618,0.49%,14.02
Egypt,3,251,1.2%,8.41
Nigeria,3,183,1.64%,7.69
Brazil,2,2302,0.09%,9.6
Mexico,2,1334,0.15%,10.01
Argentina,2,579,0.35%,10.02
Ireland,2,573,0.35%,7.27
Russia,2,542,0.37%,13.53
Switzerland,2,262,0.76%,10.13
Peru,2,216,0.93%,8.44
Serbia,2,122,1.64%,7.91
Guatemala,2,49,4.08%,7.35
Vietnam,1,1160,0.09%,16.98
United Arab Emirates,1,803,0.12%,15.32
Malaysia,1,632,0.16%,12.18
Turkey,1,586,0.17%,16.12
Portugal,1,257,0.39%,8.1
Romania,1,232,0.43%,8.78
Greece,1,231,0.43%,7.93
Austria,1,203,0.49%,9.23
Costa Rica,1,199,0.5%,14.58
Czechia,1,165,0.61%,9.82
Venezuela,1,120,0.83%,8.39
Puerto Rico,1,113,0.88%,6.79
Trinidad & Tobago,1,71,1.41%,6.51
Cameroon,1,45,2.22%,12.58
Zambia,1,19,5.26%,7.05
Bermuda,1,14,7.14%,4.5
Singapore,0,1628,0%,12.29
Italy,0,717,0%,9.41
Colombia,0,597,0%,8.77
Bangladesh,0,445,0%,14.61
Ukraine,0,439,0%,11.06
Saudi Arabia,0,339,0%,13.41
Norway,0,288,0%,7.05
Morocco,0,279,0%,14.02
South Korea,0,251,0%,9.43
Iran,0,248,0%,8.28
Ecuador,0,214,0%,9.72
Denmark,0,212,0%,8.33
Chile,0,200,0%,8.88
Taiwan,0,190,0%,9.11
Israel,0,187,0%,10.14
Algeria,0,159,0%,19.39
Dominican Republic,0,157,0%,9.11
Finland,0,140,0%,8.07
Bulgaria,0,129,0%,6.67
Hungary,0,129,0%,9.56
Iraq,0,119,0%,10.72
Jordan,0,118,0%,18.97
Lithuania,0,109,0%,13.39
Croatia,0,97,0%,8.34
Kenya,0,93,0%,6.67
Belarus,0,84,0%,8.35
Slovakia,0,84,0%,11.7
